t,y,y2
0,4.22E-03,8.37E-03
0.017,2.42E-03,4.68E-03
0.033,3.96E-04,4.42E-04
0.05,-1.70E-03,-3.86E-03
0.067,-3.85E-03,-7.85E-03
0.083,-5.75E-03,-1.13E-02
0.1,-7.60E-03,-1.43E-02
0.117,-8.89E-03,-1.66E-02
0.133,-9.63E-03,-1.80E-02
0.15,-9.62E-03,-1.86E-02
0.167,-8.94E-03,-1.83E-02
0.183,-8.37E-03,-1.71E-02
0.2,-7.65E-03,-1.51E-02
0.217,-6.96E-03,-1.23E-02
0.233,-5.76E-03,-8.93E-03
0.25,-4.39E-03,-5.04E-03
0.267,-2.49E-03,-6.11E-04
0.283,-1.06E-03,3.43E-03
0.3,4.58E-04,7.17E-03
0.317,2.19E-03,1.07E-02
0.333,3.79E-03,1.35E-02
0.35,5.10E-03,1.57E-02
0.367,6.35E-03,1.71E-02
0.383,6.66E-03,1.75E-02
0.4,6.61E-03,1.71E-02
0.417,6.29E-03,1.58E-02
0.433,5.29E-03,1.38E-02
0.45,3.54E-03,1.09E-02
0.467,1.52E-03,7.40E-03
0.483,-7.96E-04,3.54E-03
0.5,-2.83E-03,-3.20E-04
0.517,-4.51E-03,-3.99E-03
0.533,-6.02E-03,-7.69E-03
0.55,-7.53E-03,-1.12E-02
0.567,-8.86E-03,-1.41E-02
0.583,-9.57E-03,-1.64E-02
0.6,-9.56E-03,-1.78E-02
0.617,-9.09E-03,-1.81E-02
0.633,-8.78E-03,-1.78E-02
0.65,-8.24E-03,-1.65E-02
0.667,-7.21E-03,-1.43E-02
0.683,-6.15E-03,-1.14E-02
0.7,-4.64E-03,-7.84E-03
0.717,-2.88E-03,-4.07E-03
0.733,-1.04E-03,-1.62E-04
0.75,1.24E-03,3.91E-03
0.767,3.33E-03,7.74E-03
0.783,5.10E-03,1.11E-02
0.8,6.50E-03,1.41E-02
0.817,7.72E-03,1.63E-02
0.833,8.66E-03,1.74E-02
0.85,9.56E-03,1.77E-02
0.867,9.89E-03,1.71E-02
0.883,9.36E-03,1.58E-02
0.9,7.92E-03,1.37E-02
0.917,5.81E-03,1.08E-02
0.933,3.57E-03,7.31E-03
0.95,1.36E-03,3.67E-03
0.967,-7.56E-04,-1.77E-04
0.983,-2.44E-03,-4.14E-03
1,-3.97E-03,-7.79E-03
1.017,-5.37E-03,-1.12E-02
1.033,-6.69E-03,-1.40E-02
1.05,-7.69E-03,-1.58E-02
1.067,-8.37E-03,-1.72E-02
1.083,-8.80E-03,-1.77E-02
1.1,-8.72E-03,-1.73E-02
1.117,-8.02E-03,-1.59E-02
1.133,-6.92E-03,-1.38E-02
1.15,-5.92E-03,-1.09E-02
1.167,-5.17E-03,-7.49E-03
1.183,-4.34E-03,-3.87E-03
1.2,-3.05E-03,-1.08E-04
1.217,-1.41E-03,3.71E-03
1.233,8.14E-04,7.18E-03
1.25,2.91E-03,1.01E-02
1.267,4.78E-03,1.27E-02
1.283,5.91E-03,1.45E-02
1.3,6.22E-03,1.57E-02
1.317,5.92E-03,1.59E-02
1.333,5.44E-03,1.53E-02
1.35,4.82E-03,1.37E-02
1.367,3.96E-03,1.16E-02
1.383,2.67E-03,8.70E-03
1.4,8.30E-04,5.43E-03
1.417,-1.43E-03,1.93E-03
1.433,-3.81E-03,-1.76E-03
1.45,-5.89E-03,-5.41E-03
1.467,-7.40E-03,-8.72E-03
1.483,-8.20E-03,-1.19E-02
1.5,-8.39E-03,-1.44E-02
1.517,-8.43E-03,-1.64E-02
1.533,-8.84E-03,-1.73E-02
1.55,-9.06E-03,-1.75E-02
1.567,-8.98E-03,-1.66E-02
1.583,-8.28E-03,-1.51E-02
1.6,-7.21E-03,-1.29E-02
1.617,-5.60E-03,-1.01E-02
1.633,-3.81E-03,-6.81E-03
1.65,-2.22E-03,-3.15E-03
1.667,-4.18E-04,6.45E-04
1.683,1.33E-03,4.26E-03
1.7,3.21E-03,7.76E-03
1.717,5.16E-03,1.07E-02
1.733,7.06E-03,1.31E-02
1.75,8.57E-03,1.50E-02
1.767,9.49E-03,1.58E-02
1.783,9.48E-03,1.58E-02
1.8,8.81E-03,1.51E-02
1.817,7.60E-03,1.36E-02
1.833,6.26E-03,1.14E-02
1.85,4.53E-03,8.61E-03
1.867,2.93E-03,5.37E-03
1.883,1.16E-03,1.74E-03
1.9,-7.05E-04,-1.93E-03
1.917,-2.58E-03,-5.44E-03
1.933,-4.06E-03,-8.93E-03
1.95,-5.44E-03,-1.19E-02
1.967,-6.32E-03,-1.43E-02
1.983,-7.02E-03,-1.60E-02
2,-7.45E-03,-1.68E-02
2.017,-7.76E-03,-1.70E-02
2.033,-8.04E-03,-1.63E-02
2.05,-7.69E-03,-1.49E-02
2.067,-7.03E-03,-1.27E-02
2.083,-6.01E-03,-9.92E-03
2.1,-4.70E-03,-6.65E-03
2.117,-3.22E-03,-3.21E-03
2.133,-1.82E-03,3.53E-04
2.15,-2.70E-04,3.89E-03
2.167,1.24E-03,6.99E-03
2.183,3.02E-03,9.80E-03
2.2,4.42E-03,1.21E-02
2.217,5.54E-03,1.36E-02
2.233,5.91E-03,1.44E-02
2.25,5.65E-03,1.44E-02
2.267,5.01E-03,1.37E-02
2.283,4.15E-03,1.22E-02
2.3,3.05E-03,1.01E-02
2.317,1.45E-03,7.41E-03
2.333,-1.83E-04,4.25E-03
2.35,-1.85E-03,1.02E-03
2.367,-3.61E-03,-2.45E-03
2.383,-5.06E-03,-5.63E-03
2.4,-6.16E-03,-8.92E-03
2.417,-7.06E-03,-1.17E-02
2.433,-7.54E-03,-1.37E-02
2.45,-7.74E-03,-1.52E-02
2.467,-7.57E-03,-1.59E-02
2.483,-7.57E-03,-1.58E-02
2.5,-7.58E-03,-1.51E-02
2.517,-6.97E-03,-1.35E-02
2.533,-6.13E-03,-1.12E-02
2.55,-4.68E-03,-8.44E-03
2.567,-2.91E-03,-5.37E-03
2.583,-9.76E-04,-1.92E-03
2.6,1.08E-03,1.52E-03
2.617,2.90E-03,4.86E-03
2.633,4.37E-03,8.09E-03
2.65,5.79E-03,1.09E-02
2.667,7.23E-03,1.29E-02
2.683,8.35E-03,1.43E-02
2.7,9.05E-03,1.50E-02
2.717,9.09E-03,1.50E-02
2.733,8.61E-03,1.41E-02
2.75,7.18E-03,1.27E-02
2.767,5.56E-03,1.06E-02
2.783,3.77E-03,7.85E-03
2.8,2.27E-03,4.78E-03
2.817,1.18E-03,1.32E-03
2.833,-2.21E-04,-2.24E-03
2.85,-1.66E-03,-5.54E-03
2.867,-3.16E-03,-8.50E-03
2.883,-4.58E-03,-1.12E-02
2.9,-5.84E-03,-1.33E-02
2.917,-6.76E-03,-1.49E-02
2.933,-7.35E-03,-1.56E-02
2.95,-7.48E-03,-1.57E-02
2.967,-7.33E-03,-1.49E-02
2.983,-7.00E-03,-1.33E-02
3,-6.56E-03,-1.12E-02
3.017,-6.09E-03,-8.45E-03
3.033,-5.18E-03,-5.39E-03
3.05,-3.77E-03,-2.16E-03
3.067,-1.73E-03,1.12E-03
3.083,3.60E-04,4.20E-03
3.1,1.97E-03,6.96E-03
3.117,3.19E-03,9.44E-03
3.133,4.00E-03,1.14E-02
3.15,4.28E-03,1.28E-02
3.167,4.21E-03,1.35E-02
3.183,4.07E-03,1.35E-02
3.2,3.60E-03,1.27E-02
3.217,2.88E-03,1.12E-02
3.233,1.78E-03,9.17E-03
3.25,4.06E-04,6.65E-03
3.267,-1.07E-03,3.85E-03
3.283,-2.85E-03,5.87E-04
3.3,-4.02E-03,-2.54E-03
3.317,-4.81E-03,-5.60E-03
3.333,-5.45E-03,-8.49E-03
3.35,-6.14E-03,-1.11E-02
3.367,-6.92E-03,-1.29E-02
3.383,-7.54E-03,-1.43E-02
3.4,-7.71E-03,-1.49E-02
3.417,-7.61E-03,-1.48E-02
3.433,-7.09E-03,-1.37E-02
3.45,-6.23E-03,-1.22E-02
3.467,-5.12E-03,-1.00E-02
3.483,-3.71E-03,-7.31E-03
3.5,-2.18E-03,-4.30E-03
3.517,-3.40E-04,-1.04E-03
3.533,1.52E-03,2.12E-03
3.55,3.33E-03,4.98E-03
3.567,4.95E-03,7.82E-03
3.583,6.58E-03,1.02E-02
3.6,7.79E-03,1.21E-02
3.617,8.13E-03,1.32E-02
3.633,8.06E-03,1.37E-02
3.65,7.75E-03,1.36E-02
3.667,7.18E-03,1.29E-02
3.683,6.39E-03,1.14E-02
3.7,5.16E-03,9.25E-03
3.717,3.53E-03,6.63E-03
3.733,2.17E-03,3.76E-03
3.75,6.26E-04,6.30E-04
3.767,-7.69E-04,-2.58E-03
3.783,-2.21E-03,-5.59E-03
3.8,-3.29E-03,-8.39E-03
3.817,-4.44E-03,-1.08E-02
3.833,-5.39E-03,-1.26E-02
3.85,-6.35E-03,-1.37E-02
